delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
152471-31671-1407017-2254-238253-95506-37369-127355,5125-19855-43453-3801-27801-43273-56894-16743,2145-4205-4129-4566-18939-6056-6203-2019,1291-7519-25572-5770-14717-1315-1513-2034,704-3392-2264-3861-6583-2284-1290-1243,1222-11446-16893-10353-7740-14930-15713-1534,789-14433-6501-7043-9518-15870-6773-1080,816-7947-1217-5838-5981-3130-7502-1159,easy,no
116979-882723-1074360-68260-60228-378451-522332-837558,69420-96491-532017-12846-36393-62570-76541-380068,20224-17321-51157-2265-713-21217-5326-33872,4911-5953-31286-8436-2287-13082-6700-126361,6601-15862-16023-11053-2961-8891-3711-54141,10465-11640-48211-10456-14074-36512-7705-55246,10761-17748-20868-31075-3636-27989-6721-41270,11035-12101-18618-7463-11900-14238-2948-27496,difficult,no
106754-165984-172602-184490-97044-64120-23470-1880894,102286-19434-14395-104361-20827-38593-45266-123833,54566-3770-2349-25117-1475-7781-4660-18538,7416-3913-3595-23693-957-3472-2291-28378,13293-1460-3077-10868-972-1606-3685-18454,6942-4625-6968-19769-4422-13550-32403-8490,7590-1123-7300-170628-1205-7091-18478-12437,5783-2619-997-30272-1848-6577-7305-6848,easy,yes
1116337-1230799-1513555-178416-406040-796529-384086-669327,161314-100411-206355-103669-24043-186704-104409-42426,19563-22733-182078-71664-2680-18402-24271-7107,22331-32179-71236-4627-4614-6886-3474-413,4934-6043-60249-9483-4787-4571-11576-1040,6955-12925-89191-12276-8798-20198-24618-4364,20609-19884-71266-8017-15541-5003-27626-3907,4528-8248-60048-5164-4038-10368-8851-2093,easy,yes
690875-88948-1237489-1718072-640530-681798-4667-20213,288588-126162-167433-485144-64552-47103-4243-17667,17899-12535-44468-147003-29053-14323-1333-3007,71686-5016-14916-39104-22770-7245-5631-6416,53434-7389-9625-61524-15704-3628-2697-11700,29284-6789-15927-65388-24967-6159-8185-21381,28088-6770-7541-30319-33642-8615-7914-15942,18387-3185-6246-22566-19185-8733-5443-13687,difficult,yes
188495-673563-379156-472720-512796-231728-898074-1014340,127216-179479-64869-33600-161321-5332-106490-147154,25811-10456-23067-3775-18194-2544-21555-47922,19290-41256-7044-6564-11319-2097-16730-21103,22192-75215-19713-3025-11230-1214-13870-29124,36162-42968-20538-5052-20262-2199-21018-52796,44635-56479-24031-5338-17461-12341-10563-13196,49436-19651-9427-2726-19955-2041-5526-18897,easy,no
126216-1197889-340666-473155-88893-803711-387022-454462,43407-394833-12419-386205-29839-266770-225012-63029,5407-12887-4918-29082-1492-23655-53943-7511,2741-31520-5377-44778-4305-20066-70177-5587,1129-37123-2177-10187-1810-6525-58891-6811,7321-47487-1955-7525-3190-47894-92457-23813,2011-43142-8585-6346-593-26907-198915-13410,795-26822-1742-8273-3076-12705-18290-11465,difficult,yes
381482-31697-305491-2055470-429489-1853498-1379911-272407,86953-29545-252779-114734-32318-409497-288882-28343,18864-9145-12508-27845-18796-168912-193493-6637,15448-2596-8778-5220-27205-59423-64702-6071,11056-1634-14850-11925-7849-59074-17912-2392,23129-1015-29986-26677-7692-112170-35759-4900,48449-2319-14837-43197-16067-38710-76917-7888,22253-766-10161-7516-9007-42786-21268-1953,difficult,no
1031980-740263-1543031-1361067-983625-631151-1192343-418356,68528-21872-345271-102354-191319-32856-537464-106465,7150-39569-8098-13758-12720-11322-12978-21775,7592-8243-53097-30385-5683-6973-26496-3919,17640-4113-12109-10678-8097-862-30565-5550,46864-9739-11822-8676-15317-2363-56868-19990,27038-16655-41161-36901-19835-1253-48105-25590,17338-11148-11808-3066-4527-1614-33147-3958,difficult,no
16634-2550789-515728-1576120-182504-103770-1323354-497483,7191-87090-97790-129953-42428-38370-387456-55427,3129-12460-11276-37617-8673-714-65179-16987,3178-12002-21253-64454-1349-4619-30191-11193,4389-9668-3800-14011-1992-3131-39733-11485,5559-22419-5734-14631-2486-12807-53069-8497,2825-8089-21506-12826-5959-10640-183391-17230,6049-2301-21900-9108-3347-5283-12472-8914,difficult,yes
